transaction_id,date,description,amount
TXN001,2025-01-15,"POS PURCHASE WHOLE FOODS MKT #12345 SAN FRANCISCO CA",87.32
TXN002,2025-01-15,"SHELL SERVICE STATION 34567 PITTSBURGH PA",45.00
TXN003,2025-01-16,"AMAZON.COM*AB123CD45 AMZN.COM/BILL WA",129.99
TXN004,2025-01-16,"STARBUCKS STORE 9876 DOWNTOWN PITTS PA",8.75
TXN005,2025-01-17,"CVS/PHARMACY #5678 890 MAIN ST PITTSBURGH PA",42.15
TXN006,2025-01-17,"UBER *TRIP HELP.UBER.COM CA",18.50
TXN007,2025-01-18,"NETFLIX.COM LOS GATOS CA",15.99
TXN008,2025-01-18,"TARGET STORE T-2345 PITTSBURGH PA",156.78
TXN009,2025-01-19,"DUQUESNE LIGHT UTILITY PAYMENT PA",85.42
TXN010,2025-01-19,"UPMC HEALTH SYSTEM PITTSBURGH PA",250.00
