transaction_id,date,description,amount,cleaned_description,merchant_name,category,mcc_code,industry
TXN001,2025-01-15,"POS PURCHASE WHOLE FOODS MKT #12345 SAN FRANCISCO CA",87.32,"WHOLE FOODS MKT SAN FRANCISCO CA","WHOLE FOODS MKT",GROCERY,5411,"Food & Grocery"
TXN002,2025-01-15,"SHELL SERVICE STATION 34567 PITTSBURGH PA",45.00,"SHELL SERVICE STATION PITTSBURGH PA","SHELL SERVICE STATION",GAS_STATION,5541,Automotive
TXN003,2025-01-16,"AMAZON.COM*AB123CD45 AMZN.COM/BILL WA",129.99,"AMAZONCOM AMZNCOM BILL WA","AMAZONCOM",ONLINE_SHOPPING,5968,E-commerce
TXN004,2025-01-16,"STARBUCKS STORE 9876 DOWNTOWN PITTS PA",8.75,"STARBUCKS STORE DOWNTOWN PITTS PA","STARBUCKS STORE",RESTAURANT,5812,"Dining & Entertainment"
TXN005,2025-01-17,"CVS/PHARMACY #5678 890 MAIN ST PITTSBURGH PA",42.15,"CVSPHARMACY MAIN ST PITTSBURGH PA","CVSPHARMACY",PHARMACY,5912,Healthcare
TXN006,2025-01-17,"UBER *TRIP HELP.UBER.COM CA",18.50,"UBER TRIP HELPUBERCOM CA","UBER TRIP",TRANSPORTATION,4121,Transportation
TXN007,2025-01-18,"NETFLIX.COM LOS GATOS CA",15.99,"NETFLIXCOM LOS GATOS CA","NETFLIXCOM",SUBSCRIPTION,5968,"Digital Services"
TXN008,2025-01-18,"TARGET STORE T-2345 PITTSBURGH PA",156.78,"TARGET STORE PITTSBURGH PA","TARGET STORE",RETAIL,5399,Retail
TXN009,2025-01-19,"DUQUESNE LIGHT UTILITY PAYMENT PA",85.42,"DUQUESNE LIGHT UTILITY PAYMENT PA","DUQUESNE LIGHT UTILITY",UTILITIES,4900,Utilities
TXN010,2025-01-19,"UPMC HEALTH SYSTEM PITTSBURGH PA",250.00,"UPMC HEALTH SYSTEM PITTSBURGH PA","UPMC HEALTH SYSTEM",HEALTHCARE,8011,Healthcare
